Time(s),Voltage(V),Current(A),Power(W)
0.035,3.9000,0.0037,0.0144
0.088,3.9000,0.0037,0.0145
0.502,3.9000,0.0038,0.0148
0.573,3.9000,0.0037,0.0146
0.711,3.9000,0.0037,0.0146
0.920,3.9000,0.0037,0.0145
1.110,3.9000,0.0038,0.0147
1.125,3.9000,0.0038,0.0147
1.554,3.9000,0.0038,0.0149
1.648,3.9000,0.0038,0.0148
1.761,3.9000,0.0038,0.0148
1.969,3.9000,0.0038,0.0150
2.184,3.9000,0.0039,0.0153
2.196,3.9000,0.0039,0.0153
2.577,3.9000,0.0039,0.0150
2.722,3.9000,0.0038,0.0147
2.780,3.9000,0.0037,0.0146
2.984,3.9000,0.0037,0.0145
3.188,3.9000,0.0037,0.0144
3.260,3.9000,0.0037,0.0144
3.595,3.9000,0.0036,0.0142
3.797,3.9000,0.0035,0.0138
3.808,3.9000,0.0035,0.0137
4.002,3.9000,0.0035,0.0135
4.207,3.9000,0.0034,0.0134
4.335,3.9000,0.0034,0.0134
4.610,3.9000,0.0035,0.0137
4.810,3.9000,0.0035,0.0137
4.872,3.9000,0.0035,0.0137
5.011,3.9000,0.0035,0.0137
5.212,3.9000,0.0035,0.0138
5.410,3.9000,0.0035,0.0137
5.614,3.9000,0.0036,0.0140
5.816,3.9000,0.0035,0.0138
5.947,3.9000,0.0035,0.0138
6.022,3.9000,0.0036,0.0140
6.233,3.9000,0.0036,0.0142
6.484,3.9000,0.0037,0.0144
6.655,3.9000,0.0037,0.0143
6.856,3.9000,0.0036,0.0140
7.021,3.9000,0.0036,0.0139
7.057,3.9000,0.0035,0.0138
7.259,3.9000,0.0036,0.0139
7.559,3.9000,0.0036,0.0139
7.679,3.9000,0.0036,0.0139
7.889,3.9000,0.0036,0.0140
8.097,3.9000,0.0036,0.0142
8.107,3.9000,0.0036,0.0141
8.293,3.9000,0.0036,0.0141
8.635,3.9000,0.0036,0.0142
8.712,3.9000,0.0037,0.0143
8.914,3.9000,0.0037,0.0143
9.114,3.9000,0.0037,0.0144
9.171,3.9000,0.0037,0.0143
9.317,3.9000,0.0036,0.0142
9.707,3.9000,0.0036,0.0142
9.736,3.9000,0.0036,0.0142
9.936,3.9000,0.0037,0.0144
10.138,3.9000,0.0037,0.0145
10.244,3.9000,0.0037,0.0145
10.337,3.9000,0.0037,0.0143
10.781,3.9000,0.0036,0.0142
10.792,3.9000,0.0036,0.0142
10.977,3.9000,0.0036,0.0140
11.177,3.9000,0.0036,0.0140
11.319,3.9000,0.0036,0.0141
11.377,3.9000,0.0036,0.0141
11.782,3.9000,0.0037,0.0146
11.857,3.9000,0.0037,0.0144
11.987,3.9000,0.0037,0.0143
12.195,3.9000,0.0036,0.0140
12.394,3.9000,0.0036,0.0140
12.405,3.9000,0.0036,0.0140
12.820,3.9000,0.0038,0.0147
12.931,3.9000,0.0038,0.0147
13.037,3.9000,0.0038,0.0147
13.240,3.9000,0.0038,0.0148
13.469,3.9000,0.0038,0.0148
13.479,3.9000,0.0038,0.0148
13.839,3.9000,0.0038,0.0149
14.007,3.9000,0.0038,0.0148
14.038,3.9000,0.0038,0.0148
14.240,3.9000,0.0038,0.0148
14.441,3.9000,0.0037,0.0145
14.544,3.9000,0.0038,0.0147
14.857,3.9000,0.0037,0.0146
15.081,3.9000,0.0037,0.0146
15.092,3.9000,0.0037,0.0146
15.267,3.9000,0.0036,0.0142
15.478,3.9000,0.0036,0.0141
15.619,3.9000,0.0036,0.0141
15.891,3.9000,0.0037,0.0143
16.103,3.9000,0.0037,0.0143
16.156,3.9000,0.0036,0.0140
16.311,3.9000,0.0036,0.0139
16.515,3.9000,0.0036,0.0139
16.694,3.9000,0.0036,0.0139
16.928,3.9000,0.0037,0.0142
17.131,3.9000,0.0037,0.0145
17.231,3.9000,0.0037,0.0146
17.335,3.9000,0.0038,0.0147
17.536,3.9000,0.0037,0.0144
17.769,3.9000,0.0036,0.0141
17.955,3.9000,0.0035,0.0138
18.158,3.9000,0.0036,0.0139
18.306,3.9000,0.0036,0.0140
18.376,3.9000,0.0036,0.0139
18.578,3.9000,0.0036,0.0140
18.843,3.9000,0.0036,0.0139
19.016,3.9000,0.0036,0.0141
19.216,3.9000,0.0037,0.0144
19.380,3.9000,0.0037,0.0144
19.435,3.9000,0.0037,0.0143
19.637,3.9000,0.0037,0.0145
19.918,3.9000,0.0037,0.0145
20.038,3.9000,0.0037,0.0145
20.238,3.9000,0.0037,0.0145
20.456,3.9000,0.0037,0.0144
20.466,3.9000,0.0037,0.0144
20.645,3.9000,0.0036,0.0141
20.993,3.9000,0.0036,0.0141
21.064,3.9000,0.0036,0.0141
21.268,3.9000,0.0036,0.0140
21.470,3.9000,0.0036,0.0139
21.530,3.9000,0.0035,0.0136
21.672,3.9000,0.0035,0.0135
22.068,3.9000,0.0036,0.0140
22.093,3.9000,0.0036,0.0140
22.300,3.9000,0.0036,0.0142
22.505,3.9000,0.0037,0.0143
22.606,3.9000,0.0036,0.0142
22.711,3.9000,0.0036,0.0141
23.142,3.9000,0.0036,0.0139
23.154,3.9000,0.0036,0.0139
23.328,3.9000,0.0036,0.0140
23.533,3.9000,0.0036,0.0140
23.681,3.9000,0.0036,0.0139
23.732,3.9000,0.0036,0.0140
24.133,3.9000,0.0036,0.0140
24.218,3.9000,0.0036,0.0140
24.333,3.9000,0.0036,0.0141
24.536,3.9000,0.0037,0.0143
24.755,3.9000,0.0037,0.0144
24.765,3.9000,0.0037,0.0144
25.150,3.9000,0.0037,0.0145
25.292,3.9000,0.0038,0.0146
25.361,3.9000,0.0038,0.0146
25.569,3.9000,0.0038,0.0148
25.772,3.9000,0.0038,0.0148
25.830,3.9000,0.0038,0.0148
26.189,3.9000,0.0037,0.0144
26.368,3.9000,0.0037,0.0145
26.398,3.9000,0.0037,0.0145
26.606,3.9000,0.0037,0.0146
26.810,3.9000,0.0037,0.0146
26.904,3.9000,0.0037,0.0145
27.214,3.9000,0.0037,0.0144
27.442,3.9000,0.0037,0.0144
27.453,3.9000,0.0037,0.0143
27.626,3.9000,0.0037,0.0144
27.828,3.9000,0.0037,0.0143
27.979,3.9000,0.0036,0.0141
28.231,3.9000,0.0036,0.0140
28.432,3.9000,0.0036,0.0139
28.517,3.9000,0.0035,0.0137
28.635,3.9000,0.0035,0.0138
28.838,3.9000,0.0036,0.0139
29.054,3.9000,0.0035,0.0137
29.258,3.9000,0.0035,0.0137
29.461,3.9000,0.0035,0.0138
29.592,3.9000,0.0035,0.0138
29.662,3.9000,0.0035,0.0138
29.881,3.9000,0.0035,0.0138
30.129,3.9000,0.0036,0.0141
30.286,3.9000,0.0035,0.0137
30.487,3.9000,0.0035,0.0137
30.666,3.9000,0.0035,0.0137
30.706,3.9000,0.0036,0.0139
30.908,3.9000,0.0036,0.0139
31.203,3.9000,0.0036,0.0142
